what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1286219497925
error,log,,,"Ant Build Failed",1286219498182
started,bundle,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui",1286219502554
started,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1286219502588
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1286219503071
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1286219503400
started,bundle,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.ui",1286219503668
started,bundle,org.eclipse.jst.jsp.core,1.2.300.v201005271731,"org.eclipse.jst.jsp.core",1286219503767
started,bundle,org.eclipse.wst.xsd.core,1.1.501.v201004110600,"org.eclipse.wst.xsd.core",1286219504126
started,bundle,org.eclipse.xsd,2.6.0.v20100614-1136,"org.eclipse.xsd",1286219504348
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1286219504525
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1286219504606
started,bundle,org.eclipse.wst.xsl.ui,1.1.0.v201004290328,"org.eclipse.wst.xsl.ui",1286219504671
opened,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1286219504803
activated,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1286219504921
started,bundle,org.eclipse.jem.workbench,2.0.300.v200910290230,"org.eclipse.jem.workbench",1286219505996
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286219506203
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1286219525038
error,log,,,"Ant Build Failed",1286219525420
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286219527572
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286219538891
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1286219540910
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1286219542608
error,log,,,"Ant Build Failed",1286219542999
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286219543145
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286219554085
activated,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1286219556991
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286219557230
closed,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1286219557230
executed,command,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.junitShortcut.run",1286219562672
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1286219563768
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1286219569603
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286219575462
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286219606940
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1286219606996
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286219608334
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1286219609210
error,log,,,"Ant Build Failed",1286219609715
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1286219615628
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1286219615974
error,log,,,"Ant Build Failed",1286219616387
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286219620206
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286219635967
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286219639756
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286219670205
activated,view,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.ResultView",1286219678944
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286219681182
executed,command,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.junitShortcut.run",1286219685299
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286219705607
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286219712520
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1286219715079
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286219718571
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286219727913
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1286219727957
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286219730013
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286219735113
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286219741286
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286219747653
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286219748999
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1286219749428
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1286219761054
error,log,,,"Ant Build Failed",1286219761504
activated,view,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.ResultView",1286219765242
executed,command,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.junitShortcut.rerunLast",1286219766848
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286219769674
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1286219770110
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1286219770429
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1286219771116
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1286219772607
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1286219774150
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1286219774649
error,log,,,"Ant Build Failed",1286219775088
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286219781611
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286219811778
activated,view,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.ResultView",1286219814052
executed,command,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.junitShortcut.rerunLast",1286219814124
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286219816847
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286219824303
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286219830610
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286219830980
executed,command,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.junitShortcut.rerunLast",1286219832602
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1286219846913
activated,view,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.ResultView",1286219846968
closed,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1286219846977
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286219850715
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1286219865576
error,log,,,"Ant Build Failed",1286219866015
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286219868361
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286219871479
activated,view,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.ResultView",1286219873160
